254     12      1      OCT    2015
      1  99999   2836  67.37N 26.65E   178   1130
      5   7390   2451   -149   -198  99999  99999
      5   7190   2658   -157   -287  99999  99999
      4   7000   2865   -169   -269    340    144
      6   6650   3239  99999  99999    325    138
      5   6150   3826   -211   -431  99999  99999
      6   6000   4004  99999  99999    335    144
      6   5290   4913  99999  99999    325    144
      4   5000   5320   -317   -477    320    180
      5   4610   5887   -361   -511  99999  99999
      5   4550   5978   -369   -429  99999  99999
      5   4450   6131   -383   -453  99999  99999
      5   4350   6287   -391   -481  99999  99999
      5   4310   6350   -391   -561  99999  99999
      4   4000   6870   -421   -561    320    298
      5   3560   7647   -475   -575  99999  99999
      7   3300   8144   -497   -617    315    344
      6   3180   8387  99999  99999    315    365
      6   3080   8597  99999  99999    320    334
      4   3000   8770   -503   -653    315    324
      5   2940   8901   -507   -657  99999  99999
      4   2500   9960   -497   -737    315    267
      5   2260  10622   -471   -821  99999  99999
      6   2220  10740  99999  99999    300    200
      4   2000  11430   -485   -845    305    262
      6   1980  11496  99999  99999    305    288
      6   1840  11977  99999  99999    320    247
      6   1660  12653  99999  99999    295    159
      7   1600  12885   -511   -871    300    195
      6   1540  13146  99999  99999    290    205
      4   1500  13320   -517   -877    295    252
      6   1490  13363  99999  99999    300    257
      6   1380  13860  99999  99999    315    226
      6   1250  14502  99999  99999    290    205
      6   1120  15214  99999  99999    310    205
      4   1000  15950   -527   -897    305    169
      6    955  16244  99999  99999    315    144
      5    912  16541   -545   -905  99999  99999
      5    901  16619   -539   -909  99999  99999
      6    888  16711  99999  99999    275    159
      6    837  17088  99999  99999    300    211
      6    793  17433  99999  99999    290    247
      6    714  18103  99999  99999    310    128
      4    700  18230   -561   -921    305    123
      6    699  18239  99999  99999    305    118
      6    676  18452  99999  99999    290    128
      5    656  18641   -569   -929  99999  99999
      6    619  19012  99999  99999    305    149
      6    592  19297  99999  99999    280    169
      6    560  19653  99999  99999    300    221
      6    538  19910  99999  99999    290    180
      5    537  19912   -545   -915  99999  99999
      6    508  20276  99999  99999    300    144
      4    500  20380   -557   -917    295    133
      6    484  20586  99999  99999    280    159
      5    477  20678   -573   -933  99999  99999
      6    444  21132  99999  99999    275    231
      5    404  21732   -543   -913  99999  99999
      6    395  21874  99999  99999    295    123
      6    367  22340  99999  99999    265    164
      4    300  23620   -593   -943    250    185
      5    295  23726   -599   -949    255    185
    254     12      5      OCT    2015
      1  99999   2836  67.37N 26.65E   178   1130
      2    300   2850    322     84  99999      3
      3          EFSO                99999     ms
      9  10000    178     24     -9    350     30
      4  10000    178  99999  99999  99999  99999
      6   9410    663  99999  99999    340    102
      4   9250    801    -35    -41    345    102
      6   8890   1112  99999  99999     10    144
      6   8820   1174  99999  99999     10    149
      5   8650   1326    -71    -74  99999  99999
      5   8540   1426    -65   -110  99999  99999
      4   8500   1464    -67   -117      5    154
      6   8000   1928  99999  99999     10    154
      6   7680   2241  99999  99999     10    164
      5   7180   2756   -151   -261  99999  99999
      6   7040   2908  99999  99999      5    138
      4   7000   2952   -169   -259      5    138
      5   6740   3234   -193   -273  99999  99999
      6   6070   3989  99999  99999     10    180
      5   6030   4048   -259   -339  99999  99999
      6   6000   4083  99999  99999      5    175
      6   5860   4252  99999  99999    355    185
      6   5130   5205  99999  99999    355    185
      5   5050   5312   -323   -523  99999  99999
      4   5000   5390   -329   -529    350    205
      5   4570   6015   -377   -537  99999  99999
      5   4400   6276   -385   -585  99999  99999
      4   4000   6930   -411   -591    350    380
      5   3810   7259   -425   -585  99999  99999
      6   3460   7896  99999  99999    355    442
      5   3390   8035   -485   -585  99999  99999
      4   3000   8840   -509   -639    350    391
      6   2860   9149  99999  99999    345    401
      7   2850   9172   -525   -655    345    396
      6   2520   9968  99999  99999    345    252
      5   2510   9995   -503   -763  99999  99999
      4   2500  10020   -501   -761    345    252
      6   2430  10205  99999  99999    335    272
      6   2170  10945  99999  99999    335    252
      4   2000  11480   -481   -831    340    277
