 254     12      1      OCT    2016
      1  99999   2836  67.37N 26.65E   178   1130
      5    265  24582  99999  99999    235     51
      5    246  25054  99999  99999    265     98
      5    240  25210  99999  99999    295     57
      5    236  25316  99999  99999    300     36
      5    225  25619  99999  99999    290     82
      5    213  25968  99999  99999    320     67
      5    204  26243  99999  99999    280     57
      4    200  26370   -565   -915    275     72
      5    186  99999  99999  99999    255     67
      5    175  99999  99999  99999    275    103
      5    161  99999  99999  99999    280    144
      5    147  28318   -565   -905    315     77
    254     12      3      OCT    2016
      1  99999   2836  67.37N 26.65E   178   1130
      2    200   2680   3360    121  99999      0
      3          EFSO                99999     ms
      9  10050    178     62     -8    340     21
      4  10000    223     56    -14    345     51
      5   9840    353  99999  99999    360     82
      4   9250    853     -7    -34    350     82
      5   9040   1034  99999  99999    340     57
      5   8790   1255  99999  99999    360     82
      5   8770   1274    -47    -48  99999  99999
      4   8500   1521    -63    -73    355     98
      5   8410   1602  99999  99999    355     98
      5   8070   1919  99999  99999    335    118
      5   7820   2166   -103   -147  99999  99999
      5   7490   2495  99999  99999    335    149
      4   7000   3012   -167   -193    345    118
      5   6990   3023   -169   -192  99999  99999
      5   6860   3163   -171   -221  99999  99999
      5   6640   3406   -193   -273  99999  99999
      5   6090   4029  99999  99999    355     77
      5   5970   4172  99999  99999    330     67
      5   5960   4196   -263   -309  99999  99999
      5   5740   4464  99999  99999    305     57
      5   5670   4551  99999  99999    295     57
      5   5380   4926  99999  99999    290     87
      5   5250   5100   -319   -354  99999  99999
      5   5190   5182  99999  99999    305    123
      5   5110   5293  99999  99999    315    118
      4   5000   5450   -335   -395    305    108
      5   4910   5577   -343   -403  99999  99999
      5   4880   5619  99999  99999    295    108
      5   4840   5677   -341   -431  99999  99999
      5   4340   6428  99999  99999    325     93
      5   4120   6783   -419   -464  99999  99999
      4   4000   6990   -435   -485    310     87
      5   3990   7006  99999  99999    310     87
      5   3950   7074   -441   -491  99999  99999
      5   3850   7245   -443   -593  99999  99999
      5   3700   7510   -451   -621  99999  99999
      5   3640   7618  99999  99999    340    103
      5   3370   8128  99999  99999    310     62
      7   3360   8148   -477   -647    310     62
      5   3300   8267  99999  99999    310     67
      5   3230   8409  99999  99999    275     67
      5   3050   8790  99999  99999    310    170
      4   3000   8900   -459   -729    310    154
      5   2860   9219  99999  99999    350    118
      5   2740   9506  99999  99999    345     72
      5   2680   9654  99999  99999    335     51
      5   2630   9780  99999  99999    310     72
      5   2540  10013  99999  99999    325    149
      5   2530  10039   -427   -767  99999  99999
      4   2500  10120   -433   -773    320    139
      5   2410  10364  99999  99999    305    129
      5   2290  10705  99999  99999    335    123
      5   2090  11315  99999  99999    335     87
      5   2030  11510  99999  99999    325     77
      4   2000  11610   -457   -787    325     87
      5   1840  12160  99999  99999    300    118
      5   1730  12567  99999  99999    320    108
      5   1670  12800  99999  99999    305    113
